symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-06-18 00:00:00+00:00,100.86,101.11,99.42,100.01,23586037,95.3639584493,95.6003355028,94.0024266214,94.5602764676,23586037,0.0,1.0
MSFT,2018-06-19 00:00:00+00:00,100.86,101.0,99.5,99.65,28653087,95.3639584493,95.4963295993,94.0780672785,94.2198935106,28653087,0.0,1.0
MSFT,2018-06-20 00:00:00+00:00,101.87,102.52,101.12,101.37,26180792,96.3189217453,96.9335020843,95.6097905849,95.8461676384,26180792,0.0,1.0
MSFT,2018-06-21 00:00:00+00:00,101.14,102.46,100.88,102.08,23198188,95.6287007492,96.8767715915,95.3828686136,96.5174784702,23198188,0.0,1.0
MSFT,2018-06-22 00:00:00+00:00,100.41,100.77,99.63,100.41,38923105,94.9384797531,95.2788627101,94.2009833463,94.9384797531,38923105,0.0,1.0
MSFT,2018-06-25 00:00:00+00:00,98.39,100.11,97.3,100.0,35433333,93.0285531611,94.6548272889,91.997949208,94.5508213854,35433333,0.0,1.0
MSFT,2018-06-26 00:00:00+00:00,99.08,100.08,98.75,98.82,26897244,93.6809538287,94.6264620425,93.3689361181,93.4351216931,26897244,0.0,1.0
MSFT,2018-06-27 00:00:00+00:00,97.54,100.02,97.4,99.58,31298386,92.2248711793,94.5697315497,92.0925000294,94.1537079356,31298386,0.0,1.0
MSFT,2018-06-28 00:00:00+00:00,98.63,99.11,97.26,97.38,26650671,93.2554751324,93.7093190751,91.9601288795,92.0735898651,26650671,0.0,1.0
MSFT,2018-06-29 00:00:00+00:00,98.61,99.91,98.33,98.93,28053214,93.2365649682,94.4657256462,92.9718226683,93.5391275966,28053214,0.0,1.0
MSFT,2018-07-02 00:00:00+00:00,100.01,100.06,98.0,98.1,19564521,94.5602764676,94.6075518783,92.6598049577,92.7543557791,19564521,0.0,1.0
MSFT,2018-07-03 00:00:00+00:00,99.05,100.63,98.94,100.48,14670275,93.6525885823,95.1464915602,93.5485826787,95.0046653281,14670275,0.0,1.0
MSFT,2018-07-05 00:00:00+00:00,99.76,99.92,99.03,99.5,18977402,94.3238994141,94.4751807283,93.633678418,94.0780672785,18977402,0.0,1.0
MSFT,2018-07-06 00:00:00+00:00,101.16,101.43,99.67,99.89,19234627,95.6476109135,95.9028981312,94.2388036749,94.4468154819,19234627,0.0,1.0
MSFT,2018-07-09 00:00:00+00:00,101.85,102.25,101.25,101.65,18211980,96.3000115811,96.6782148666,95.7327066527,96.1109099383,18211980,0.0,1.0
MSFT,2018-07-10 00:00:00+00:00,102.12,102.51,101.86,102.0,19293140,96.5552987988,96.9240470022,96.3094666632,96.4418378131,19293140,0.0,1.0
MSFT,2018-07-11 00:00:00+00:00,101.98,102.34,101.1,101.15,19644648,96.4229276489,96.7633106058,95.5908804207,95.6381558314,19644648,0.0,1.0
MSFT,2018-07-12 00:00:00+00:00,104.19,104.41,102.73,102.77,24335929,98.5125008015,98.7205126085,97.1320588092,97.1698791378,24335929,0.0,1.0
MSFT,2018-07-13 00:00:00+00:00,105.43,105.6,104.09,104.37,24653500,99.6849309867,99.845667383,98.4179499801,98.68269228,24653500,0.0,1.0
MSFT,2018-07-16 00:00:00+00:00,104.91,105.82,104.52,105.4,21786912,99.1932667154,100.0536791901,98.824518512,99.6565657402,21786912,0.0,1.0
MSFT,2018-07-17 00:00:00+00:00,105.95,106.5,104.32,104.61,25901726,100.1765952579,100.6966247755,98.6354168693,98.9096142513,25901726,0.0,1.0
MSFT,2018-07-18 00:00:00+00:00,105.12,106.05,104.72,105.94,29493927,99.3918234404,100.2711460792,99.0136201548,100.1671401757,29493927,0.0,1.0
MSFT,2018-07-19 00:00:00+00:00,104.4,105.31,103.89,104.93,40171646,98.7110575264,99.571470001,98.2288483373,99.2121768797,40171646,0.0,1.0
MSFT,2018-07-20 00:00:00+00:00,106.27,108.2,106.08,108.08,56038827,100.4791578863,102.303988739,100.2995113257,102.1905277534,56038827,0.0,1.0
MSFT,2018-07-23 00:00:00+00:00,107.97,108.14,106.13,106.3,29706955,102.0865218498,102.2472582462,100.3467867363,100.5075231327,29706955,0.0,1.0
MSFT,2018-07-24 00:00:00+00:00,107.66,108.82,107.26,108.57,26316619,101.7934143035,102.8902038316,101.415211018,102.6538267782,26316619,0.0,1.0
MSFT,2018-07-25 00:00:00+00:00,110.83,111.15,107.6,107.96,30798058,104.7906753415,105.0932379699,101.7366838107,102.0770667677,30798058,0.0,1.0
MSFT,2018-07-26 00:00:00+00:00,109.62,111.0,109.5,110.74,31372110,103.6466104027,104.9514117378,103.533149417,104.7055796022,31372110,0.0,1.0
MSFT,2018-07-27 00:00:00+00:00,107.68,110.18,106.14,110.18,37005292,101.8123244678,104.1760950025,100.3562418185,104.1760950025,37005292,0.0,1.0
MSFT,2018-07-30 00:00:00+00:00,105.37,107.53,104.76,107.19,34668327,99.6282004938,101.6704982357,99.0514404834,101.349025443,34668327,0.0,1.0
MSFT,2018-07-31 00:00:00+00:00,106.08,106.72,105.38,106.49,27655152,100.2995113257,100.9046365825,99.637655576,100.6871696933,27655152,0.0,1.0
MSFT,2018-08-01 00:00:00+00:00,106.28,106.45,105.42,106.03,23628699,100.4886129684,100.6493493648,99.6754759045,100.252235915,23628699,0.0,1.0
MSFT,2018-08-02 00:00:00+00:00,107.57,108.09,104.84,105.4,26104258,101.7083185643,102.1999828355,99.1270811405,99.6565657402,26104258,0.0,1.0
MSFT,2018-08-03 00:00:00+00:00,108.04,108.05,106.82,107.8,18659599,102.1527074248,102.1621625069,100.9991874039,101.9257854535,18659599,0.0,1.0
MSFT,2018-08-06 00:00:00+00:00,108.13,108.42,107.56,108.12,20265947,102.2378031641,102.5120005461,101.6988634822,102.2283480819,20265947,0.0,1.0
MSFT,2018-08-07 00:00:00+00:00,108.88,109.1,108.17,108.56,16080214,102.9469343244,103.1549461315,102.2756234926,102.644371696,16080214,0.0,1.0
MSFT,2018-08-08 00:00:00+00:00,109.49,109.75,108.76,109.33,15487502,103.5236943349,103.7695264705,102.8334733388,103.3724130207,15487502,0.0,1.0
MSFT,2018-08-09 00:00:00+00:00,109.67,110.16,109.6,109.71,13677211,103.6938858134,104.1571848382,103.6277002384,103.7317061419,13677211,0.0,1.0
MSFT,2018-08-10 00:00:00+00:00,109.0,109.69,108.38,109.42,18183724,103.0603953101,103.7127959777,102.4741802175,103.4575087599,18183724,0.0,1.0
MSFT,2018-08-13 00:00:00+00:00,108.21,109.58,108.1,109.24,18474884,102.3134438212,103.6087900741,102.2094379176,103.2873172814,18474884,0.0,1.0
MSFT,2018-08-14 00:00:00+00:00,109.56,109.75,108.04,108.56,16788314,103.5898799099,103.7695264705,102.1527074248,102.644371696,16788314,0.0,1.0
MSFT,2018-08-15 00:00:00+00:00,107.66,108.99,106.82,108.49,29982806,102.1905277534,103.4529595006,101.3932024393,102.9783610994,29982806,0.42,1.0
MSFT,2018-08-16 00:00:00+00:00,107.64,108.86,107.3,108.3,21384289,102.1715438173,103.3295639163,101.8488169045,102.7980137069,21384289,0.0,1.0
MSFT,2018-08-17 00:00:00+00:00,107.58,107.9,106.69,107.36,18061512,102.1145920092,102.418334986,101.269806855,101.9057687126,18061512,0.0,1.0
MSFT,2018-08-20 00:00:00+00:00,106.87,107.9,106.48,107.51,17914201,101.4406622794,102.418334986,101.0704755265,102.048148233,17914201,0.0,1.0
